restaurant_id,top_lat,top_long
654570,30.6478,76.8863
656253,28.4966,77.0945
656256,28.6370,77.2867
656266,22.5692,88.4309
656274,22.6231,88.4504
656280,22.5471,88.3542
656285,22.5273,88.3657
656443,28.5525,77.1234
657336,23.0432,72.5499
657600,12.9329,77.6311
657840,30.6678,76.8176
658093,12.9503,77.6990
658224,28.5510,77.1241
658365,30.6662,76.8147
658441,28.5578,77.1645
658779,13.0838,80.2204
659150,26.8848,80.9329
659456,26.8457,80.9354
659599,26.8678,81.0100
659936,26.8643,81.0080
661356,26.7984,80.8947
661413,26.8320,80.9436
661448,26.8533,80.9436
662248,12.9817,80.2316
662389,11.1028,77.3474
662392,26.7531,83.3751
662476,25.2508,55.2920
662493,28.5030,77.0637
662609,13.1899,77.6449
662662,19.1737,72.8387
663120,23.0445,72.5294
663321,19.1094,72.8759
663431,30.6485,76.8117
665479,10.0266,76.3086
665561,28.5486,77.1270
665788,30.8858,75.7875
665864,19.1082,72.8822
666364,15.1752,73.9452
666365,15.1749,73.9452
668355,19.0703,72.8396
668500,20.2588,85.8396
668602,13.0805,80.1966
668885,28.5706,77.3621
669268,15.1587,73.9454
669384,26.8174,75.8508
669396,13.0215,77.6411
669406,13.0331,80.2529
669448,12.9684,77.7496
669449,12.9122,77.6811
669661,13.0178,80.2056
669673,13.0206,77.6431
669682,28.3856,77.3122
669685,19.2554,72.9844
669686,28.5701,77.3620
669691,28.4805,77.0926
669771,28.4352,77.1046
669825,28.4675,77.0822
670203,22.6159,88.4305
670684,18.4961,73.7321
670686,18.5544,73.7983
670804,17.4417,78.4871
670847,26.8649,81.0121
670852,28.4683,77.0838
670863,19.0524,72.8992
670946,12.3631,76.6063
671026,24.5864,73.7108
671223,28.5026,77.0972
671812,28.4898,77.1072
671925,28.5029,77.0975
671952,22.5366,88.3512
671976,26.1417,91.6737
672024,27.1564,78.0599
672131,12.9834,77.7529
672829,18.5502,73.9043
672876,26.9099,75.7831
672914,28.5396,77.3663
672959,28.4450,77.0807
672964,28.5041,77.0971
672971,12.8760,77.5955
672975,17.4290,78.4500
672986,11.0558,76.9939
673004,28.6066,77.4294
673015,30.6386,76.8224
673031,19.2030,72.8599
673042,19.0250,72.8402
673136,12.7430,80.2416
673156,12.9535,80.1395
673183,28.4531,77.0822
673252,19.1102,72.8788
673328,22.4717,88.3843
673412,15.4852,73.8106
673414,22.5758,88.3490
673491,12.9053,80.2294
673502,26.8500,75.8002
673998,12.9862,77.7449
674054,19.0562,72.8351
674059,19.1890,72.8337
674061,19.1254,72.8223
674162,30.9017,75.8313
681716,13.0217,77.6405
681740,28.5069,77.1751
681745,19.2025,72.9658
681753,13.0942,77.5948
681761,28.5013,77.4093
681798,28.4427,77.1010
681801,12.8881,77.5631
681816,20.3432,85.8084
681838,19.1153,72.9072
681909,28.6545,77.4362
681967,28.5013,77.4094
681971,17.4570,78.3644
681972,22.5529,88.3527
681976,22.6231,88.4504
682016,13.0001,77.6258
682120,15.5948,73.7378
682161,18.5200,73.9198
682173,19.1073,72.8516
682195,19.0691,72.9005
682202,23.0357,72.5043
682209,19.0338,73.0668
682210,15.2406,73.9253
682245,13.0815,80.2441
682445,19.1396,72.8316
